Frequency [MHz] - FFT,Amplitude - FFT
2246.21,0.8
2251.59,0.7
2256.96,0.7
2262.34,0.8
2267.71,0.7
2273.08,0.7
2278.46,0.8
2283.83,0.7
2289.2,0.7
2294.58,0.7
2299.95,0.7
2305.32,0.7
2310.7,0.7
2316.07,0.7
2321.45,0.7
2326.82,0.7
2332.19,0.6
2337.57,0.7
2342.94,0.7
2348.31,0.6
2353.69,0.6
2359.06,0.6
2364.44,0.6
2369.81,0.6
2375.18,0.6
2380.56,0.6
2385.93,0.6
2391.3,0.6
2396.68,0.6
2402.05,0.6
2407.43,0.6
2412.8,0.6
2418.17,0.6
2423.55,0.6
2428.92,0.5
2434.29,0.6
2439.67,0.6
2445.04,0.6
2450.42,0.6
2455.79,0.6
2461.16,0.6
2466.54,0.6
2471.91,0.5
2477.28,0.5
2482.66,0.6
2488.03,0.5
2493.4,0.5
2498.78,0.6
2504.15,0.5
2509.53,0.5
2514.9,0.5
2520.27,0.5
2525.65,0.5
2531.02,0.6
2536.39,0.8
2541.77,0.8
2547.14,0.6
2552.52,0.5
2557.89,0.5
2563.26,0.5
2568.64,0.4
2574.01,0.5
2579.38,0.4
2584.76,0.4
2590.13,0.4
2595.51,0.4
2600.88,0.4
2606.25,0.4
2611.63,0.4
2617,0.4
2622.37,0.4
2627.75,0.4
2633.12,0.4
2638.5,0.5
2643.87,0.5
2649.24,0.6
2654.62,0.6
2659.99,0.5
2665.36,0.5
2670.74,0.6
2676.11,0.6
2681.49,0.6
2686.86,0.8
2692.23,1
2697.61,4.7
2702.98,14.1
2708.35,17.3
2713.73,9.4
2719.1,2.4
2724.47,0.7
2729.85,0.6
2735.22,0.5
2740.6,0.4
2745.97,0.4
2751.34,0.4
2756.72,0.4
2762.09,0.4
2767.46,0.4
2772.84,0.3
2778.21,0.4
2783.59,0.4
2788.96,0.3
2794.33,0.3
2799.71,0.3
2805.08,0.3
2810.45,0.3
2815.83,0.3
2821.2,0.3
2826.58,0.3
2831.95,0.3
2837.32,0.3
2842.7,0.3
2848.07,0.3
2853.44,0.3
2858.82,0.3
2864.19,0.4
2869.57,0.9
2874.94,1.7
2880.31,1.5
2885.69,0.6
2891.06,0.3
2896.43,0.3
2901.81,0.3
2907.18,0.3
2912.55,0.2
2917.93,0.2
2923.3,0.3
2928.68,0.2
2934.05,0.2
2939.42,0.3
2944.8,0.2
2950.17,0.2
2955.54,0.3
2960.92,0.2
2966.29,0.2
2971.67,0.2
2977.04,0.2
2982.41,0.2
2987.79,0.2
2993.16,0.2
2998.53,0.2
3003.91,0.2
3009.28,0.2
3014.66,0.2
3020.03,0.2
3025.4,0.2
3030.78,0.2
3036.15,0.3
3041.52,0.3
3046.9,0.3
3052.27,0.2
3057.65,0.2
3063.02,0.2
3068.39,0.2
3073.77,0.2
3079.14,0.2
3084.51,0.2
3089.89,0.2
3095.26,0.2
3100.64,0.2
3106.01,0.2
3111.38,0.2
3116.76,0.2
3122.13,0.1
3127.5,0.2
3132.88,0.1
3138.25,0.1
3143.62,0.2
3149,0.1
3154.37,0.1
3159.75,0.2
3165.12,0.1
3170.49,0.1
3175.87,0.2
3181.24,0.1
3186.61,0.1
3191.99,0.1
3197.36,0.1
3202.74,0.1
3208.11,0.1
3213.48,0.1
3218.86,0.1
3224.23,0.1
3229.6,0.1
3234.98,0.1
3240.35,0.1
3245.73,0.1
3251.1,0.1
3256.47,0.1
3261.85,0.1
3267.22,0.1
3272.59,0.1
3277.97,0.1
3283.34,0.1
3288.72,0.1
3294.09,0.1
3299.46,0.1
3304.84,0.1
3310.21,0.1
3315.58,0.1
3320.96,0.1
3326.33,0.1
3331.7,0.1
3337.08,0.1
3342.45,0.1
3347.83,0.1
3353.2,0.1
3358.57,0.1
3363.95,0.1
3369.32,0.1
3374.69,0.1
3380.07,0.1
3385.44,0.1
3390.82,0.1
3396.19,0.1
3401.56,0.1
3406.94,0.1
3412.31,0.1
3417.68,0.1
3423.06,0.1
3428.43,0.1
3433.81,0.1
3439.18,0.1
3444.55,0.1
3449.93,0.1
3455.3,0.1
3460.67,0.1
3466.05,0
3471.42,0.1
3476.8,0.1
3482.17,0
3487.54,0.1
3492.92,0.1
3498.29,0
3503.66,0.1
3509.04,0.1
3514.41,0
3519.79,0.1
3525.16,0.1
3530.53,0
3535.91,0.1
3541.28,0.1
3546.65,0
3552.03,0.1
3557.4,0.1
3562.77,0
3568.15,0.1
3573.52,0.1
3578.9,0
3584.27,0.1
3589.64,0
3595.02,0
3600.39,0.1
3605.76,0
3611.14,0
3616.51,0.1
3621.89,0
3627.26,0
3632.63,0.1
3638.01,0
3643.38,0
3648.75,0.1
3654.13,0
3659.5,0
3664.88,0.1
3670.25,0
3675.62,0
3681,0
3686.37,0
3691.74,0
3697.12,0
3702.49,0
3707.87,0
3713.24,0
3718.61,0
3723.99,0
3729.36,0
3734.73,0
3740.11,0
3745.48,0
3750.85,0
3756.23,0
3761.6,0
3766.98,0
3772.35,0
3777.72,0
3783.1,0
3788.47,0
3793.84,0
3799.22,0
3804.59,0
3809.97,0
3815.34,0
3820.71,0
3826.09,0
3831.46,0
3836.83,0
3842.21,0
3847.58,0
3852.96,0
3858.33,0
3863.7,0
3869.08,0
3874.45,0
3879.82,0
3885.2,0
3890.57,0
3895.95,0
3901.32,0
3906.69,0
3912.07,0
3917.44,0
3922.81,0
3928.19,0
3933.56,0
3938.94,0
3944.31,0
3949.68,0
3955.06,0
3960.43,0
3965.8,0
3971.18,0
3976.55,0
3981.92,0
3987.3,0
3992.67,0
3998.05,0
4003.42,0
4008.79,0
4014.17,0
4019.54,0
4024.91,0
4030.29,0
4035.66,0
4041.04,0
4046.41,0
4051.78,0
4057.16,0
4062.53,0
4067.9,0
4073.28,0
4078.65,0
4084.03,0
4089.4,0
4094.77,0
4100.15,0
4105.52,0
4110.89,0
4116.27,0
4121.64,0
4127.02,0
4132.39,0
4137.76,0
4143.14,0
4148.51,0
4153.88,0
4159.26,0
4164.63,0
4170,0
4175.38,0
4180.75,0
4186.13,0
4191.5,0
4196.87,0
4202.25,0
4207.62,0
4212.99,0
4218.37,0
4223.74,0
4229.12,0
4234.49,0
4239.86,0
4245.24,0
4250.61,0
4255.98,0
4261.36,0
4266.73,0
4272.11,0
4277.48,0
4282.85,0
4288.23,0
4293.6,0
4298.97,0
4304.35,0
4309.72,0
4315.1,0
4320.47,0
4325.84,0
4331.22,0
4336.59,0
4341.96,0
4347.34,0
4352.71,0
4358.09,0
4363.46,0
4368.83,0
4374.21,0
4379.58,0
4384.95,0
4390.33,0
4395.7,0
4401.07,0
4406.45,0
4411.82,0
4417.2,0
4422.57,0
4427.94,0
4433.32,0
4438.69,0
4444.06,0
4449.44,0
4454.81,0
4460.19,0
4465.56,0
4470.93,0
4476.31,0
4481.68,0
4487.05,0
4492.43,0
4497.8,0
4503.18,0
4508.55,0
4513.92,0
4519.3,0
4524.67,0
4530.04,0
4535.42,0
4540.79,0
4546.17,0
4551.54,0
4556.91,0
4562.29,0
4567.66,0
4573.03,0
4578.41,0
4583.78,0
4589.15,0
4594.53,0
4599.9,0
4605.28,0
4610.65,0
4616.02,0
4621.4,0
4626.77,0
4632.14,0
4637.52,0
4642.89,0
4648.27,0
4653.64,0
4659.01,0
4664.39,0
4669.76,0
4675.13,0
4680.51,0
4685.88,0
4691.26,0
4696.63,0
4702,0
4707.38,0
4712.75,0
4718.12,0
4723.5,0
4728.87,0
4734.25,0
4739.62,0
4744.99,0
4750.37,0
4755.74,0
4761.11,0
4766.49,0
4771.86,0
4777.23,0
4782.61,0
4787.98,0
4793.36,0
4798.73,0
4804.1,0
4809.48,0
4814.85,0
4820.22,0
4825.6,0
4830.97,0
4836.35,0
4841.72,0
4847.09,0
4852.47,0
4857.84,0
4863.21,0
4868.59,0
4873.96,0
4879.34,0
4884.71,0
4890.08,0
4895.46,0
4900.83,0
4906.2,0
4911.58,0
4916.95,0
4922.33,0
4927.7,0
4933.07,0
4938.45,0
4943.82,0
4949.19,0
4954.57,0
4959.94,0
4965.32,0
4970.69,0
4976.06,0
4981.44,0
4986.81,0
4992.18,0
4997.56,0
5002.93,0
5008.3,0
5013.68,0
5019.05,0
5024.43,0
5029.8,0
5035.17,0
5040.55,0
5045.92,0
5051.29,0
5056.67,0
5062.04,0
5067.42,0
5072.79,0
5078.16,0
5083.54,0
5088.91,0
5094.28,0
5099.66,0
5105.03,0
5110.41,0
5115.78,0
5121.15,0
5126.53,0
5131.9,0
5137.27,0
5142.65,0
5148.02,0
5153.4,0
5158.77,0
5164.14,0
5169.52,0
5174.89,0
5180.26,0
5185.64,0
5191.01,0
5196.38,0
5201.76,0
5207.13,0
5212.51,0
5217.88,0
5223.25,0
5228.63,0
5234,0
5239.37,0
5244.75,0
5250.12,0
5255.5,0
5260.87,0
5266.24,0
5271.62,0
5276.99,0
5282.36,0
5287.74,0
5293.11,0
5298.49,0
5303.86,0
5309.23,0
5314.61,0
5319.98,0
5325.35,0
5330.73,0
5336.1,0
5341.48,0
5346.85,0
5352.22,0
5357.6,0
5362.97,0
5368.34,0
5373.72,0
5379.09,0
5384.47,0
5389.84,0
5395.21,0
5400.59,0
5405.96,0
5411.33,0
5416.71,0
5422.08,0
5427.45,0
5432.83,0
5438.2,0
5443.58,0
5448.95,0
5454.32,0
5459.7,0
5465.07,0
5470.44,0
5475.82,0
5481.19,0
5486.57,0
5491.94,0
5497.31,0
